,channel,allocated_revenue,cost
0,Email,321.8888273292565,1.0563192908603378
1,Display Ads,0.0,4.160702162124823
2,Display Ads,0.0,3.604308102007778
3,Search,0.0,2.7978026965528136
4,Email,0.0,3.675365010654429
5,Search,120.21166152173083,1.9682210860460017
6,Search,0.0,1.9505501759695987
7,Direct,0.0,4.933692563579372
8,Direct,0.0,4.193380499938204
9,Email,0.0,3.7832512271635275
10,Display Ads,0.0,1.8809641902621932
11,Display Ads,75.34601092727692,3.5818891836286713
12,Email,0.0,4.8157143080103495
13,Organic,0.0,1.0618264661154697
14,Organic,93.23455726808393,4.343920482048823
15,Email,0.0,1.693177280283383
16,Email,0.0,3.196906658824482
17,Email,0.0,3.5530823753734015
18,Organic,0.0,2.742691594711564
19,Organic,0.0,3.264148841976305
20,Organic,74.78609949639743,1.4124954753437304
21,Email,0.0,4.305829864430967
22,Direct,0.0,2.5568067149366525
23,Search,0.0,1.3651467071445342
24,Email,473.57001856697394,4.983325500117482
25,Direct,0.0,3.948402823372077
26,Display Ads,0.0,1.2314555910308296
27,Direct,0.0,2.342640259187853
28,Social Media,0.0,2.5530735359594887
29,Organic,169.63410385418393,4.2201786700774475
30,Direct,0.0,2.402350235226388
31,Social Media,0.0,2.7498996880949163
32,Social Media,0.0,2.8036417896644177
33,Search,0.0,4.44945483498698
34,Email,71.56042349038711,2.3099894087116586
35,Search,0.0,3.3743698142161946
36,Search,0.0,2.993768795716229
37,Search,0.0,3.2309690638017496
38,Email,0.0,2.135103623194898
39,Direct,0.0,3.2831132186756475
40,Direct,305.49708177165394,1.559089506505158
41,Email,0.0,1.654623771462818
42,Organic,0.0,3.6607888827848005
43,Social Media,0.0,4.508802163252433
44,Organic,1.0,4.0849866740789516
45,Social Media,0.0,3.9457769424988913
46,Display Ads,1.0,4.5897216392755364
47,Social Media,0.0,4.915725742463845
48,Email,240.5546977488713,4.318967214828806
49,Organic,0.0,2.0547352105384658
50,Direct,0.0,3.4020674417346135
51,Social Media,238.3660553630617,1.7223013805093341
52,Organic,0.0,1.1357839143431954
53,Email,317.9635286518085,1.9266868055337736
54,Search,0.0,3.4309471795154365
55,Organic,0.0,1.706112128022033
56,Social Media,0.0,4.118337894267013
57,Direct,0.0,4.876410520563246
58,Email,0.0,4.979631290585742
59,Search,420.8084764432825,1.3363928978719386
60,Display Ads,0.0,1.4633754271210306
61,Social Media,0.0,4.274717681999367
62,Direct,0.0,3.165066314704441
63,Social Media,0.0,1.7179892936953336
64,Organic,0.0,1.6950139012302672
65,Search,262.78230934058286,1.0049273406657036
66,Email,0.0,2.7212235795978508
67,Direct,0.0,1.2568357483005363
68,Direct,0.0,4.190236402548752
69,Display Ads,0.0,1.0464821596324025
70,Direct,131.10877961156638,4.8991726485871325
71,Display Ads,0.0,3.7209129697251653
72,Organic,0.0,2.0307315540448547
73,Organic,194.94423285106416,4.376681795876788
74,Search,0.0,4.4730851220530345
75,Search,0.0,2.0789984460679585
76,Social Media,0.0,4.746422769179846
77,Organic,0.0,2.808796113133741
78,Display Ads,301.50387931678404,3.177956391843398
79,Email,0.0,2.4658461394855915
80,Organic,0.0,2.7947744904901226
81,Email,0.0,1.909078509052606
82,Social Media,0.0,3.672851194220065
83,Social Media,0.0,2.5191431207169193
84,Social Media,397.56954717287806,4.600092493592045
85,Email,0.0,2.20824200733918
86,Display Ads,0.0,3.670199597165882
87,Email,355.34210218680175,1.3867057985868785
88,Email,0.0,2.3902860969559283
89,Search,0.0,4.708711277917811
90,Search,202.5461426558991,1.3198615774372078
91,Search,0.0,3.377163002247099
92,Direct,0.0,1.4226587370469757
93,Direct,0.0,3.4783518195913183
94,Search,0.0,1.2453985084426726
95,Display Ads,0.0,1.2326551820219032
96,Search,303.21044129923087,3.5488059072331217
97,Social Media,0.0,3.5466787286688293
98,Email,0.0,4.5298377618244
99,Organic,0.0,2.773092349774473
100,Direct,84.35787896051033,3.2312529020442797
101,Search,0.0,3.1801076755877533
102,Display Ads,0.0,1.1726949431880467
103,Social Media,0.0,3.903919639941182
104,Display Ads,0.0,3.023410771807316
105,Search,0.0,4.032740044306149
106,Email,1.0,2.485688007492183
107,Email,0.0,4.066354095886574
108,Social Media,369.51957540306097,4.853577736854202
109,Organic,0.0,4.150852062110834
110,Display Ads,118.18165866583035,1.8150658365107564
111,Social Media,0.0,4.171417676135357
112,Search,0.0,4.191656638463576
113,Direct,0.0,2.790411761280868
114,Direct,0.0,3.453892554556705
115,Organic,0.0,1.6754168267107445
116,Direct,0.0,1.133534407145525
117,Display Ads,107.82127693989072,1.8621194751653274
118,Organic,0.0,2.6332253710378044
119,Search,0.0,1.931052588405155
120,Email,0.0,4.59538955272099
121,Display Ads,0.0,1.0007535982263276
122,Display Ads,0.0,2.5180116134988744
123,Display Ads,480.44940332168267,1.526773753888154
124,Search,0.0,4.883064825899131
125,Search,0.0,2.8915885312436194
126,Email,0.0,2.6278876385370555
127,Direct,0.0,1.1590638599542782
128,Direct,0.0,1.9554266416077106
129,Social Media,0.0,2.8918853843820407
130,Display Ads,463.9091448311387,3.544384185638169
131,Direct,0.0,4.49479437386538
132,Search,0.0,4.609813229143366
133,Direct,0.0,1.5685484951738307
134,Social Media,96.05343267431061,2.481587945101226
135,Search,0.0,2.7765108526630065
136,Social Media,360.1990273170278,4.922957374333718
137,Social Media,0.0,4.058111178618871
138,Search,0.0,1.8018980621136111
139,Search,1.0,4.213930973187539
140,Direct,0.0,4.624444008529988
141,Social Media,456.94898960319324,3.852184202537275
142,Organic,0.0,4.044151161003132
143,Email,0.0,2.1922088345577726
144,Organic,0.0,3.5765968859036636
145,Social Media,0.0,4.827199261937144
146,Search,0.0,2.830798420637176
147,Search,280.20811372428227,1.0054145028618726
148,Display Ads,0.0,4.896777775265429
149,Display Ads,0.0,4.31905248115058
150,Direct,441.72606047277424,2.8358539175091946
